nm	    Data
371.6	30.46
371.8	30.76
372.0	31.04
372.2	31.32
372.4	31.61
372.6	31.93
372.8	32.23
373.0	32.56
373.2	32.88
373.4	33.26
373.6	33.65
373.8	34.05
374.0	34.46
374.2	34.87
374.4	35.28
374.6	35.73
374.8	36.22
375.0	36.72
375.2	37.24
375.4	37.78
375.6	38.33
375.8	38.91
376.0	39.49
376.2	40.12
376.4	40.78
376.6	41.46
376.8	42.13
377.0	42.84
377.2	43.50
377.4	44.18
377.6	44.90
377.8	45.65
378.0	46.38
378.2	47.14
378.4	47.90
378.6	48.66
378.8	49.42
379.0	50.24
379.2	51.03
379.4	51.90
379.6	52.78
379.8	53.69
380.0	54.66
380.2	55.65
380.4	56.64
380.6	57.64
380.8	58.68
381.0	59.84
381.2	61.04
381.4	62.30
381.6	63.61
381.8	65.04
382.0	66.47
382.2	68.02
382.4	69.65
382.6	71.43
382.8	73.28
383.0	75.35
383.2	77.49
383.4	79.88
383.6	82.35
383.8	85.06
384.0	87.94
384.2	91.16
384.4	94.65
384.6	98.62
384.8	102.9
385.0	107.7
385.2	112.8
385.4	118.7
385.6	125.2
385.8	132.8
386.0	141.5
386.2	152.1
386.4	164.2
386.6	179.2
386.8	196.7
387.0	219.5
387.2	248.1
387.4	288.4
387.6	341.8
387.8	418.6
388.0	520.8
388.2	667.9
388.4	853.6
388.6	1113
388.8	1445
389.0	1905
389.2	2477
389.4	3226
389.6	4131
389.8	9999.9
390.0	9999.9
390.2	9999.9
390.4	9999.9
390.6	9999.9
390.8	9999.9
391.0	9999.9
391.2	9999.9
391.4	9999.9
391.6	9999.9
391.8	9999.9
392.0	9999.9
392.2	9999.9
392.4	9999.9
392.6	9999.9
392.8	9999.9
393.0	9999.9
393.2	9999.9
393.4	9999.9
393.6	9999.9
393.8	9999.9
394.0	9999.9
394.2	9999.9
394.4	9999.9
394.6	9999.9
394.8	9999.9
395.0	9999.9
395.2	9999.9
395.4	9999.9
395.6	9999.9
395.8	9999.9
396.0	9999.9
396.2	9999.9
396.4	9999.9
396.6	9999.9
396.8	9999.9
397.0	9999.9
397.2	9999.9
397.4	9999.9
397.6	9999.9
397.8	9999.9
398.0	9999.9
398.2	9999.9
398.4	9999.9
398.6	9999.9
398.8	9999.9
399.0	9999.9
399.2	9999.9
399.4	9999.9
399.6	9999.9
399.8	9999.9
400.0	9999.9
400.2	9999.9
400.4	9999.9
400.6	9999.9
400.8	9999.9
401.0	9999.9
401.2	9999.9
401.4	9999.9
401.6	9999.9
401.8	9999.9
402.0	9999.9
402.2	9999.9
402.4	9999.9
402.6	9999.9
402.8	9999.9
403.0	9999.9
403.2	9999.9
403.4	9999.9
403.6	9999.9
403.8	9999.9
404.0	9999.9
404.2	9999.9
404.4	9999.9
404.6	9999.9
404.8	9999.9
405.0	8625
405.2	7320
405.4	6114
405.6	5048
405.8	4108
406.0	3322
406.2	2649
406.4	2098
406.6	1643
406.8	1283
407.0	1002
407.2	786.0
407.4	621.2
407.6	497.9
407.8	405.2
408.0	336.3
408.2	284.6
408.4	246.2
408.6	217.3
408.8	195.5
409.0	178.5
409.2	165.4
409.4	154.8
409.6	146.2
409.8	139.0
410.0	132.8
410.2	127.6
410.4	123.0
410.6	118.9
410.8	115.2
411.0	111.9
411.2	108.7
411.4	105.8
411.6	103.1
411.8	100.6
412.0	98.32
412.2	96.18
412.4	94.23
412.6	92.31
412.8	90.50
413.0	88.72
413.2	87.05
413.4	85.37
413.6	83.85
413.8	82.34
414.0	80.96
414.2	79.50
414.4	78.10
414.6	76.71
414.8	75.32
415.0	73.92
415.2	72.56
415.4	71.22
415.6	69.95
415.8	68.68
416.0	67.41
416.2	66.15
416.4	64.91
416.6	63.72
416.8	62.54
417.0	61.37
417.2	60.26
417.4	59.20
417.6	58.18
417.8	57.19
418.0	56.19
418.2	55.18
418.4	54.24
418.6	53.36
418.8	52.55
419.0	51.74
419.2	50.97
419.4	50.16
419.6	49.38
419.8	48.59
420.0	47.84
420.2	47.12
420.4	46.45
420.6	45.78
420.8	45.12
421.0	44.49
421.2	43.89
421.4	43.29
421.6	42.72
421.8	42.16
422.0	41.65
422.2	41.14
422.4	40.65
422.6	40.17
422.8	39.67
423.0	39.20
423.2	38.78
423.4	38.32
423.6	37.89
423.8	37.44
424.0	37.03
424.2	36.61
424.4	36.18
424.6	35.79
424.8	35.39
425.0	34.99
425.2	34.59
425.4	34.18
425.6	33.77
425.8	33.37
426.0	33.00
426.2	32.62
426.4	32.27
426.6	31.90
426.8	31.52
427.0	31.16
427.2	30.81
427.4	30.48
427.6	30.14
427.8	29.79
428.0	29.46
428.2	29.15
428.4	28.84
428.6	28.52
428.8	28.25
429.0	27.95
429.2	27.67
429.4	27.36
429.6	27.07
429.8	26.80
430.0	26.54
430.2	26.28
430.4	26.02
430.6	25.75
430.8	25.50
431.0	25.27
431.2	25.05
431.4	24.81
431.6	24.60
431.8	24.38
432.0	24.18
432.2	23.98
432.4	23.79
432.6	23.58
432.8	23.40
433.0	23.23
433.2	23.07
433.4	22.93
433.6	22.80
433.8	22.65
434.0	22.49
434.2	22.34
434.4	22.20
434.6	22.10
434.8	21.97
435.0	21.84
435.2	21.70
435.4	21.59
435.6	21.47
435.8	21.31
436.0	21.19
436.2	21.05
436.4	20.93
436.6	20.79
436.8	20.67
437.0	20.55
437.2	20.42
437.4	20.31
437.6	20.19
437.8	20.04
438.0	19.91
438.2	19.78
438.4	19.64
438.6	19.50
438.8	19.36
439.0	19.21
439.2	19.07
439.4	18.92
439.6	18.76
439.8	18.61
440.0	18.44
440.2	18.28
440.4	18.11
440.6	17.92
440.8	17.73
441.0	17.53
441.2	17.35
441.4	17.16
441.6	16.99
441.8	16.82
442.0	16.64
442.2	16.46
442.4	16.30
442.6	16.13
442.8	15.96
443.0	15.80
443.2	15.64
443.4	15.48
443.6	15.31
443.8	15.15
444.0	14.98
444.2	14.83
444.4	14.70
444.6	14.57
444.8	14.44
445.0	14.33
445.2	14.20
445.4	14.07
445.6	13.95
445.8	13.85
446.0	13.74
446.2	13.62
446.4	13.53
446.6	13.45
446.8	13.35
447.0	13.26
447.2	13.15
447.4	13.07
447.6	13.00
447.8	12.92
448.0	12.85
448.2	12.78
448.4	12.72
448.6	12.66
448.8	12.60
449.0	12.54
449.2	12.49
449.4	12.44
449.6	12.39
449.8	12.36
450.0	12.32
450.2	12.25
450.4	12.20
450.6	12.15
450.8	12.11
451.0	12.08
451.2	12.03
451.4	11.99
451.6	11.93
451.8	11.89
452.0	11.83
452.2	11.79
452.4	11.74
452.6	11.70
452.8	11.66
453.0	11.61
453.2	11.57
453.4	11.53
453.6	11.47
453.8	11.44
454.0	11.39
454.2	11.34
454.4	11.30
454.6	11.25
454.8	11.21
455.0	11.14
455.2	11.10
455.4	11.05
455.6	10.98
455.8	10.93
456.0	10.88
456.2	10.83
456.4	10.79
456.6	10.75
456.8	10.70
457.0	10.64
457.2	10.59
457.4	10.55
457.6	10.51
457.8	10.47
458.0	10.42
458.2	10.38
458.4	10.34
458.6	10.30
458.8	10.27
459.0	10.23
459.2	10.21
459.4	10.16
459.6	10.13
459.8	10.10
460.0	10.06
460.2	10.02
460.4	9.995
460.6	9.967
460.8	9.942
461.0	9.923
461.2	9.885
461.4	9.858
461.6	9.834
461.8	9.821
462.0	9.796
462.2	9.773
462.4	9.758
462.6	9.734
462.8	9.719
463.0	9.708
463.2	9.689
463.4	9.676
463.6	9.668
463.8	9.647
464.0	9.643
464.2	9.630
464.4	9.627
464.6	9.635
464.8	9.639
465.0	9.624
465.2	9.618
465.4	9.612
465.6	9.596
465.8	9.606
466.0	9.605
466.2	9.607
466.4	9.596
466.6	9.580
466.8	9.568
467.0	9.570
467.2	9.579
467.4	9.579
467.6	9.573
467.8	9.563
468.0	9.535
468.2	9.524
468.4	9.518
468.6	9.501
468.8	9.503
469.0	9.494
469.2	9.484
469.4	9.467
469.6	9.449
469.8	9.424
470.0	9.411
470.2	9.409
470.4	9.389
470.6	9.356
470.8	9.336
471.0	9.298
471.2	9.268
471.4	9.242
471.6	9.219
471.8	9.194
472.0	9.178
472.2	9.147
472.4	9.110
472.6	9.077
472.8	9.036
473.0	8.993
473.2	8.962
473.4	8.914
473.6	8.876
473.8	8.830
474.0	8.793
474.2	8.764
474.4	8.735
474.6	8.710
474.8	8.682
475.0	8.657
475.2	8.613
475.4	8.572
475.6	8.538
475.8	8.504
476.0	8.483
476.2	8.469
476.4	8.445
476.6	8.416
476.8	8.396
477.0	8.365
477.2	8.340
477.4	8.311
477.6	8.288
477.8	8.263
478.0	8.243
478.2	8.218
478.4	8.201
478.6	8.165
478.8	8.134
479.0	8.106
479.2	8.087
479.4	8.059
479.6	8.032
479.8	8.012
480.0	7.996
480.2	7.968
480.4	7.942
480.6	7.918
480.8	7.895
481.0	7.871
481.2	7.858
481.4	7.831
481.6	7.812
481.8	7.784
482.0	7.761
482.2	7.757
482.4	7.722
482.6	7.696
482.8	7.679
483.0	7.657
483.2	7.634
483.4	7.607
483.6	7.583
483.8	7.564
484.0	7.542
484.2	7.525
484.4	7.508
484.6	7.491
484.8	7.466
485.0	7.432
485.2	7.399
485.4	7.375
485.6	7.345
485.8	7.320
486.0	7.295
486.2	7.272
486.4	7.248
486.6	7.221
486.8	7.189
487.0	7.164
487.2	7.144
487.4	7.129
487.6	7.106
487.8	7.086
488.0	7.058
488.2	7.033
488.4	7.012
488.6	6.987
488.8	6.966
489.0	6.937
489.2	6.928
489.4	6.914
489.6	6.905
489.8	6.883
490.0	6.865
490.2	6.856
490.4	6.844
