Angle,PSD
40.0851,201
40.0993,200
40.1135,179
40.1277,169
40.1418,179
40.156,160
40.1702,173
40.1844,164
40.1985,157
40.2127,173
40.2269,151
40.2411,176
40.2552,163
40.2694,165
40.2836,165
40.2978,166
40.3119,168
40.3261,186
40.3403,150
40.3545,161
40.3686,162
40.3828,176
40.397,162
40.4112,180
40.4253,181
40.4395,167
40.4537,152
40.4679,168
40.482,172
40.4962,146
40.5104,162
40.5246,145
40.5387,181
40.5529,162
40.5671,138
40.5813,170
40.5954,153
40.6096,171
40.6238,177
40.638,159
40.6521,148
40.6663,152
40.6805,161
40.6947,150
40.7088,147
40.723,159
40.7372,175
40.7514,156
40.7655,157
40.7797,159
40.7939,146
40.8081,151
40.8222,165
40.8364,149
40.8506,168
40.8648,147
40.8789,164
40.8931,137
40.9073,126
40.9215,136
40.9356,158
40.9498,145
40.964,153
40.9782,165
40.9923,146
41.0065,170
41.0207,142
41.0349,150
41.049,151
41.0632,133
41.0774,162
41.0916,160
41.1057,183
41.1199,136
41.1341,148
41.1483,150
41.1624,150
41.1766,129
41.1908,125
41.205,160
41.2191,151
41.2333,153
41.2475,142
41.2617,155
41.2758,128
41.29,157
41.3042,152
41.3184,144
41.3325,152
41.3467,153
41.3609,138
41.3751,140
41.3892,154
41.4034,163
41.4176,151
41.4318,140
41.4459,126
41.4601,135
41.4743,153
41.4885,166
41.5026,120
41.5168,136
41.531,185
41.5452,156
41.5593,157
41.5735,146
41.5877,157
41.6019,168
41.616,168
41.6302,172
41.6444,208
41.6586,182
41.6727,178
41.6869,181
41.7011,171
41.7153,163
41.7294,178
41.7436,162
41.7578,175
41.772,175
41.7861,168
41.8003,177
41.8145,204
41.8287,196
41.8428,177
41.857,186
41.8712,211
41.8854,165
41.8995,200
41.9137,191
41.9279,192
41.9421,196
41.9562,184
41.9704,193
41.9846,204
41.9988,190
42.0129,187
42.0271,160
42.0413,203
42.0555,193
42.0696,198
42.0838,196
42.098,179
42.1122,188
42.1263,182
42.1405,184
42.1547,184
42.1689,187
42.183,167
42.1972,177
42.2114,173
42.2256,187
42.2397,187
42.2539,177
42.2681,162
42.2823,189
42.2964,174
42.3106,175
42.3248,176
42.339,182
42.3531,158
42.3673,179
42.3815,199
42.3957,178
42.4098,190
42.424,191
42.4382,172
42.4524,164
42.4665,158
42.4807,177
42.4949,161
42.5091,165
42.5232,161
42.5374,188
42.5516,173
42.5658,149
42.5799,175
42.5941,157
42.6083,175
42.6225,144
42.6366,153
42.6508,168
42.665,159
42.6792,152
42.6933,169
42.7075,177
42.7217,178
42.7359,183
42.7501,164
42.7642,141
42.7784,148
42.7926,171
42.8068,158
42.8209,155
42.8351,175
42.8493,156
42.8635,155
42.8776,176
42.8918,160
42.906,176
42.9202,180
42.9343,146
42.9485,154
42.9627,155
42.9769,173
42.991,175
43.0052,153
43.0194,164
43.0336,177
43.0477,148
43.0619,178
43.0761,162
43.0903,177
43.1044,181
43.1186,165
43.1328,164
43.147,165
43.1611,175
43.1753,153
43.1895,154
43.2037,163
43.2178,185
43.232,166
43.2462,183
43.2604,158
43.2745,174
43.2887,165
43.3029,174
43.3171,161
43.3312,140
43.3454,162
43.3596,146
43.3738,167
43.3879,158
43.4021,160
43.4163,153
43.4305,153
43.4446,161
43.4588,161
43.473,178
43.4872,154
43.5013,155
43.5155,170
43.5297,162
43.5439,153
43.558,150
43.5722,156
43.5864,145
43.6006,143
43.6147,180
43.6289,166
43.6431,149
43.6573,160
43.6714,179
43.6856,176
43.6998,163
43.714,172
43.7281,192
43.7423,178
43.7565,198
43.7707,172
43.7848,176
43.799,172
43.8132,176
43.8274,212
43.8415,178
43.8557,177
43.8699,161
43.8841,169
43.8982,188
43.9124,162
43.9266,182
43.9408,209
43.9549,191
43.9691,168
43.9833,188
43.9975,155
44.0116,165
44.0258,171
44.04,158
44.0542,154
44.0683,157
44.0825,160
44.0967,139
44.1109,169
44.125,154
44.1392,168
44.1534,165
44.1676,175
44.1817,161
44.1959,141
44.2101,152
44.2243,137
44.2384,165
44.2526,146
44.2668,160
44.281,161
44.2951,143
44.3093,166
44.3235,167
44.3377,153
44.3518,152
44.366,136
44.3802,144
44.3944,140
44.4085,145
44.4227,156
44.4369,151
44.4511,114
44.4652,147
44.4794,160
44.4936,128
44.5078,142
44.5219,161
44.5361,168
44.5503,139
44.5645,142
44.5786,142
44.5928,120
44.607,158
44.6212,150
44.6353,147
44.6495,154
44.6637,140
44.6779,150
44.692,145
44.7062,141
44.7204,138
44.7346,134
44.7487,158
44.7629,157
44.7771,138
44.7913,151
44.8054,143
44.8196,148
44.8338,135
44.848,148
44.8621,146
44.8763,149
44.8905,138
44.9047,148
44.9188,152
44.933,154
44.9472,152
44.9614,158
44.9755,156
44.9897,134
45.0039,150
45.0181,134
45.0322,162
45.0464,148
45.0606,147
45.0748,159
45.0889,159
45.1031,161
45.1173,155
45.1315,155
45.1456,149
45.1598,154
45.174,187
45.1882,166
45.2023,170
45.2165,148
45.2307,174
45.2449,184
45.259,182
45.2732,157
45.2874,169
45.3016,160
45.3157,167
45.3299,158
45.3441,167
45.3583,139
45.3724,172
45.3866,177
45.4008,161
45.415,147
45.4291,152
45.4433,162
45.4575,151
45.4717,137
45.4858,150
45.5,143
45.5142,158
45.5284,147
45.5425,148
45.5567,181
45.5709,152
45.5851,163
45.5992,164
45.6134,134
45.6276,167
45.6418,139
45.6559,173
45.6701,166
45.6843,152
45.6985,144
45.7126,129
45.7268,157
45.741,151
45.7552,115
45.7693,137
45.7835,151
45.7977,153
45.8119,155
45.826,148
45.8402,148
45.8544,146
45.8686,162
45.8827,162
45.8969,148
45.9111,159
45.9253,154
45.9394,159
45.9536,169
45.9678,163
45.982,159
45.9961,158
46.0103,162
46.0245,155
46.0387,163
46.0528,151
46.067,138
46.0812,133
46.0954,142
46.1095,153
46.1237,178
46.1379,144
46.1521,156
46.1662,167
46.1804,173
46.1946,173
46.2088,173
46.2229,183
46.2371,174
46.2513,174
46.2655,170
46.2796,172
46.2938,167
46.308,160
46.3222,188
46.3363,189
46.3505,221
46.3647,202
46.3789,223
46.393,210
46.4072,180
46.4214,219
46.4356,250
46.4497,236
46.4639,240
46.4781,248
46.4923,299
46.5064,306
46.5206,294
46.5348,315
46.549,329
46.5632,343
46.5773,333
46.5915,379
46.6057,345
46.6199,382
46.634,352
46.6482,372
46.6624,368
46.6766,373
46.6907,340
46.7049,346
46.7191,327
46.7333,299
46.7474,328
46.7616,293
46.7758,281
46.79,275
46.8041,284
46.8183,238
46.8325,267
46.8467,252
46.8608,241
46.875,230
46.8892,239
46.9034,221
46.9175,223
46.9317,201
46.9459,209
46.9601,190
46.9742,218
46.9884,206
47.0026,203
47.0168,183
47.0309,196
47.0451,200
47.0593,205
47.0735,191
47.0876,183
47.1018,210
47.116,204
47.1302,206
47.1443,203
47.1585,184
47.1727,217
47.1869,194
47.201,204
47.2152,192
47.2294,191
47.2436,195
47.2577,204
47.2719,187
47.2861,194
47.3003,207
47.3144,197
47.3286,199
47.3428,191
47.357,173
47.3711,187
47.3853,205
47.3995,216
47.4137,202
47.4278,165
47.442,196
47.4562,203
47.4704,189
47.4845,190
47.4987,195
47.5129,196
47.5271,172
47.5412,214
47.5554,203
47.5696,182
47.5838,190
47.5979,207
47.6121,188
47.6263,201
47.6405,196
47.6546,202
47.6688,167
47.683,193
47.6972,207
47.7113,226
47.7255,217
47.7397,230
47.7539,203
47.768,192
47.7822,203
